City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Ribeira Grande,PT,2021-01-17 23:01:55,38.5167,-28.7,62.76,80,61,25.61
122,Kathu,TH,2021-01-17 23:01:55,7.9178,98.3332,84.0,78,20,12.66
123,Zhezkazgan,KZ,2021-01-17 23:01:55,47.8043,67.7144,13.89,93,100,4.85
124,Constitucion,CL,2021-01-17 23:01:55,-35.3333,-72.4167,65.37,61,0,16.8
125,Guerrero Negro,MX,2021-01-17 23:01:55,27.9769,-114.0611,76.66,23,0,9.17
126,Yantal,RU,2021-01-17 23:01:55,56.8471,105.2542,-15.97,86,100,4.9
127,Cidreira,BR,2021-01-17 23:01:56,-30.1811,-50.2056,74.16,91,100,13.91
128,Juneau,US,2021-01-17 23:00:05,58.3019,-134.4197,42.8,81,90,12.66
129,Carnarvon,AU,2021-01-17 23:01:56,-24.8667,113.6333,80.6,78,97,5.75
130,Dabakala,CI,2021-01-17 23:01:56,8.3667,-4.4333,76.73,18,1,2.17
131,Moron,AR,2021-01-17 23:01:56,-34.6534,-58.6198,75.99,45,0,4.0
132,Chumikan,RU,2021-01-17 23:01:56,54.7183,135.315,-21.98,74,100,10.58
133,College,US,2021-01-17 23:01:57,64.8569,-147.8028,5.0,85,75,2.3
134,Greenville,US,2021-01-17 23:00:14,35.6127,-77.3663,45.0,53,1,5.75
135,Saint-Leu,RE,2021-01-17 23:01:57,-21.15,55.2833,78.8,73,0,4.61
136,Lebu,CL,2021-01-17 23:01:57,-37.6167,-73.65,58.77,81,0,20.78
137,Yar-Sale,RU,2021-01-17 23:01:57,66.8333,70.8333,-13.13,89,100,16.11
138,Vanavara,RU,2021-01-17 23:01:58,60.34,102.2797,-18.6,87,100,7.31
139,Bengkulu,ID,2021-01-17 23:01:58,-3.8004,102.2655,74.91,87,99,5.53
140,Jiangkou,CN,2021-01-17 23:01:58,25.4872,119.1986,42.8,65,0,4.47
141,Chara,RU,2021-01-17 23:01:58,56.9064,118.2631,-41.66,63,2,0.43
142,Tiksi,RU,2021-01-17 23:01:58,71.6872,128.8694,-20.24,88,100,7.72
143,Nicoya,CR,2021-01-17 23:01:58,10.1483,-85.452,89.6,45,40,10.36
144,Bensonville,LR,2021-01-17 23:01:59,6.4461,-10.6125,75.2,94,40,3.87
145,Fortuna,US,2021-01-17 23:01:59,40.5982,-124.1573,60.01,82,1,11.5
146,Igarka,RU,2021-01-17 23:01:59,67.4667,86.5833,-11.0,88,100,21.32
147,Nelson Bay,AU,2021-01-17 23:01:59,-32.7167,152.15,73.0,73,75,6.91
148,Palmer,US,2021-01-17 23:01:59,42.1584,-72.3287,39.99,56,90,8.05
149,Choix,MX,2021-01-17 23:02:00,26.7092,-108.3219,85.86,13,0,5.3
150,Nome,US,2021-01-17 23:02:00,64.5011,-165.4064,7.0,78,1,5.26
151,Andenes,NO,2021-01-17 23:02:00,69.3143,16.1194,28.4,100,40,4.61
