City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
512,Jesus Carranza,MX,2021-01-18 01:18:46,17.4333,-95.0333,69.91,89,82,5.93,broken clouds
513,Artyom,AZ,2021-01-18 01:18:46,40.4723,50.333,44.6,87,0,9.22,clear sky
514,Teahupoo,PF,2021-01-18 01:18:46,-17.8333,-149.2667,86.0,66,40,14.97,scattered clouds
515,Dickinson,US,2021-01-18 01:15:16,29.4608,-95.0513,57.2,43,1,5.5,clear sky
516,Morki,RU,2021-01-18 01:18:46,56.4303,48.9947,-14.31,88,34,2.01,scattered clouds
517,Mbuyapey,PY,2021-01-18 01:18:46,-26.2,-56.75,72.82,60,100,6.08,overcast clouds
518,Kirensk,RU,2021-01-18 01:18:47,57.7853,108.1119,-26.0,80,100,2.39,overcast clouds
519,Mackay,AU,2021-01-18 01:09:16,-21.15,149.2,82.99,69,75,14.97,broken clouds
520,Oyama,JP,2021-01-18 01:18:47,36.3,139.8,41.0,52,75,6.91,light snow
521,Taltal,CL,2021-01-18 01:11:58,-25.4,-70.4833,65.07,75,0,5.17,clear sky
522,Bluefields,NI,2021-01-18 01:18:47,12.0137,-83.7635,75.45,90,100,5.39,overcast clouds
523,Lagoa,PT,2021-01-18 01:18:47,39.05,-27.9833,61.72,81,2,26.35,clear sky
524,Pringsewu,ID,2021-01-18 01:16:34,-5.3582,104.9744,78.06,82,55,3.44,light rain
525,San Jose,US,2021-01-18 01:16:54,37.3394,-121.895,73.4,25,40,8.05,scattered clouds
526,Clinton,US,2021-01-18 01:18:48,42.587,-82.9199,35.01,100,90,5.75,light snow
527,Seoul,KR,2021-01-18 01:16:46,37.5683,126.9778,30.2,80,90,4.61,light snow
528,Pundaguitan,PH,2021-01-18 01:18:48,6.3711,126.1689,77.63,89,100,12.28,heavy intensity rain
529,Lorengau,PG,2021-01-18 01:18:48,-2.0226,147.2712,85.82,69,98,15.55,overcast clouds
530,Bocaiuva,BR,2021-01-18 01:18:48,-17.1078,-43.815,67.59,73,74,5.3,broken clouds
531,Camana,PE,2021-01-18 01:18:49,-16.6228,-72.7111,71.37,74,28,6.69,scattered clouds
532,Bayir,TR,2021-01-18 01:09:54,37.2687,28.2167,37.4,93,40,5.75,scattered clouds
533,Belmonte,BR,2021-01-18 01:15:58,-15.8631,-38.8828,78.8,73,20,9.22,few clouds
534,La Ronge,CA,2021-01-18 01:13:04,55.1001,-105.2842,3.2,85,100,6.91,light snow
535,Petropavlovskoye,RU,2021-01-18 01:18:49,52.0712,84.107,17.8,88,98,6.17,overcast clouds
536,Lomza,PL,2021-01-18 01:18:49,53.1781,22.0593,-0.67,89,0,2.68,clear sky
537,Kushima,JP,2021-01-18 01:18:49,31.4583,131.2333,44.6,39,20,6.91,few clouds
538,Kwinana,AU,2021-01-18 01:18:50,-32.25,115.7667,86.0,20,40,19.57,scattered clouds
539,Klaksvik,FO,2021-01-18 01:09:21,62.2266,-6.589,33.8,100,75,4.61,broken clouds
540,Radovitskiy,RU,2021-01-18 01:18:50,55.1282,39.7956,-10.82,90,31,1.5,scattered clouds
